Tenor,Rate
1M,4.2
1.5M,4.36
2M,4.58
3M,4.42
4M,4.41
6M,4.33
1Y,4.1
2Y,3.94
3Y,3.89
5Y,3.98
7Y,4.17
10Y,4.38
20Y,4.89
30Y,4.88
